liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Foul Won Penalty,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Headed Goals,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocks,Interceptions,Penalties Conceded,Successful Launches,Unsuccessful Launches,Corners Taken (incl short corners),Hit Woodwork,Successful Corners into Box,Through balls,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Offsides,Total Big Chances Missed,Unsuccessful lay-offs,Attempts from Set Pieces,Left Foot Goals,Clean Sheets,GK Successful Distribution,Goal Kicks,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Saves Made,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Overruns,Straight Red Cards,Total Red Cards,Punches,Saves Made from Inside Box,Total Big Chances Saved,Clearances Off the Line,Last Player Tackle,Goalkeeper Smother,Penalties Saved,Saves from Penalty,Own Goal Scored,Second Goal Assists,Crosses not Claimed,Red Cards - 2nd Yellow,Direct Corner Goals,Direct Setpiece Goals,Set Pieces Goals
USA_USL_League_One,2026,Westchester SC,10oiuut1g6ehuzjw06yko0c9g,A. Armas,Midfielder,21,5.0,2.0,3.0,7.0,27.0,1.0,32.0,1.0,27.0,9.0,18.0,50.0,68.0,1.0,,7.0,,10.0,8.0,2.0,,,,22.0,7.0,15.0,,,5.0,41.0,159.0,,,,15.0,4.0,4.0,16.0,,32.0,5.0,2.0,,5.0,4.0,2.0,1.0,,2.0,5.0,13.0,135.0,88.0,53.0,127.0,2.0,7.0,7.0,6.0,417.0,1.0,,,14.0,5.0,4.0,51.0,168.0,2.0,140.0,9.0,,28.0,251.0,7.0,2.0,1.0,6.0,30.0,5.0,22.0,1.0,,,0.0,1.0,6.0,,3.0,1.0,3.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,Forward,9,11.0,11.0,,7.0,7.0,,12.0,1.0,29.0,21.0,8.0,32.0,4.0,1.0,,7.0,,3.0,2.0,1.0,,,,18.0,10.0,8.0,1.0,,3.0,7.0,25.0,,,,8.0,2.0,2.0,7.0,,10.0,3.0,2.0,2.0,1.0,1.0,6.0,2.0,2.0,4.0,6.0,,19.0,15.0,9.0,22.0,,,,,154.0,4.0,,,1.0,6.0,4.0,19.0,28.0,4.0,22.0,,11.0,6.0,59.0,2.0,1.0,3.0,3.0,7.0,1.0,3.0,1.0,,,0.0,,1.0,,,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,8vbez3b8xisdipzffl9gqcv3e,D. Bouman,Midfielder,8,2.0,,2.0,6.0,15.0,,36.0,,22.0,8.0,14.0,22.0,45.0,,,6.0,,5.0,5.0,,,,,20.0,8.0,12.0,,,,50.0,138.0,,,,19.0,2.0,2.0,5.0,,31.0,,1.0,,2.0,1.0,4.0,,,,1.0,10.0,117.0,53.0,67.0,110.0,2.0,4.0,,1.0,263.0,5.0,,,4.0,1.0,6.0,31.0,141.0,1.0,120.0,6.0,1.0,21.0,184.0,,,3.0,4.0,13.0,8.0,17.0,1.0,,,0.0,2.0,5.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,ed08m0e0qdzyic5pa8hmtkb8,D. Burko,Forward,77,75.0,35.0,40.0,8.0,35.0,2.0,59.0,4.0,151.0,76.0,75.0,122.0,50.0,8.0,1.0,8.0,,14.0,10.0,4.0,,,,76.0,41.0,35.0,1.0,,6.0,29.0,161.0,,,,33.0,13.0,5.0,20.0,,49.0,8.0,6.0,4.0,7.0,3.0,1.0,1.0,1.0,5.0,7.0,2.0,100.0,74.0,28.0,99.0,3.0,7.0,,,607.0,18.0,1.0,,10.0,18.0,20.0,110.0,163.0,10.0,101.0,10.0,30.0,62.0,297.0,4.0,4.0,8.0,5.0,60.0,6.0,57.0,2.0,,,0.0,1.0,5.0,,,2.0,,,,,,2.0,2.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,d0eom7ayxwhkfphcuhkdohroq,M. Diaz,Forward,17,2.0,2.0,,3.0,20.0,1.0,42.0,1.0,20.0,10.0,10.0,51.0,11.0,1.0,,3.0,,3.0,1.0,2.0,,,,18.0,8.0,10.0,,,1.0,18.0,60.0,,,,25.0,5.0,2.0,5.0,,12.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,45.0,32.0,17.0,44.0,,3.0,,4.0,191.0,6.0,,,,1.0,1.0,33.0,61.0,3.0,46.0,3.0,5.0,15.0,106.0,5.0,2.0,5.0,2.0,14.0,6.0,13.0,,,,0.0,,,,,2.0,2.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,1u2p8ap3rhpsokbgsm4k2xn9w,C. Dickerson,Defender,3,11.0,3.0,8.0,8.0,18.0,,45.0,2.0,32.0,14.0,18.0,7.0,93.0,1.0,,8.0,,12.0,8.0,4.0,,,,21.0,11.0,10.0,,,2.0,20.0,201.0,,,,24.0,3.0,3.0,21.0,,83.0,2.0,,,6.0,3.0,2.0,,,1.0,,13.0,162.0,44.0,129.0,160.0,4.0,2.0,7.0,15.0,472.0,4.0,,,28.0,3.0,4.0,64.0,214.0,,173.0,6.0,,41.0,319.0,,,3.0,24.0,27.0,14.0,17.0,2.0,,,0.0,3.0,8.0,,4.0,15.0,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,eur2vbdzfmcxyfathakjghyqc,J. Drack,Defender,19,17.0,5.0,12.0,7.0,35.0,3.0,43.0,,49.0,19.0,30.0,57.0,74.0,2.0,,7.0,,7.0,4.0,3.0,,,,32.0,14.0,18.0,,,1.0,5.0,150.0,,,,23.0,6.0,2.0,17.0,,38.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,6.0,107.0,57.0,54.0,102.0,3.0,2.0,6.0,36.0,366.0,5.0,1.0,,20.0,9.0,13.0,65.0,152.0,4.0,108.0,5.0,2.0,44.0,269.0,3.0,2.0,2.0,17.0,34.0,13.0,27.0,4.0,,,0.0,1.0,1.0,,3.0,11.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,2yagfn9j1763dy7xcx4pvf47o,K. Evans,Forward,83,6.0,6.0,,8.0,58.0,5.0,98.0,5.0,87.0,35.0,52.0,165.0,58.0,2.0,,8.0,1.0,15.0,11.0,4.0,1.0,1.0,,81.0,29.0,52.0,1.0,,10.0,44.0,191.0,,,,53.0,13.0,8.0,21.0,1.0,47.0,11.0,6.0,4.0,8.0,2.0,,1.0,1.0,16.0,3.0,7.0,155.0,117.0,55.0,164.0,9.0,8.0,,6.0,703.0,21.0,2.0,,5.0,6.0,19.0,100.0,207.0,10.0,171.0,17.0,30.0,36.0,384.0,10.0,10.0,15.0,3.0,39.0,7.0,33.0,1.0,1.0,0.0,0.0,,12.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,5mqcwgg1cjj38k4adpnbkbvv8,D. Guezen,Midfielder,10,8.0,7.0,1.0,8.0,49.0,4.0,93.0,10.0,54.0,37.0,17.0,147.0,60.0,10.0,,8.0,4.0,9.0,9.0,,3.0,4.0,,46.0,30.0,16.0,,,16.0,45.0,188.0,,,,29.0,9.0,5.0,21.0,1.0,44.0,16.0,8.0,10.0,6.0,4.0,2.0,11.0,3.0,3.0,2.0,11.0,155.0,123.0,50.0,151.0,3.0,3.0,,5.0,487.0,15.0,3.0,3.0,8.0,11.0,7.0,89.0,198.0,18.0,162.0,6.0,23.0,36.0,333.0,21.0,7.0,9.0,11.0,50.0,7.0,25.0,1.0,4.0,0.0,1.0,2.0,5.0,,,3.0,16.0,1.0,5.0,4.0,9.0,,,1.0,,2.0,3.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Westchester SC,b6tj447hitrne5sp308do172s,A. Hammersley,Goalkeeper,1,1.0,,1.0,4.0,,,11.0,,1.0,,1.0,,76.0,,,4.0,,9.0,8.0,1.0,,,,,,,,,,15.0,62.0,,,,3.0,1.0,,46.0,,18.0,,,,4.0,,,,,,,29.0,47.0,21.0,53.0,45.0,,,,,360.0,,,,4.0,,,35.0,109.0,,74.0,,,35.0,156.0,,,,35.0,30.0,5.0,,,,,0.0,,,,7.0,13.0,,,,,,,,,,,,,1.0,34.0,28.0,3.0,,14.0,,20.0,5.0,,10.0,,,,1.0,15.0,3.0,,,,,,,,,,,,
