liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Passes Opposition Half,Successful Long Passes,Forward Passes,Starts,Saves Made from Outside Box,Open Play Passes,Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Rightside Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Opposition Half,GK Unsuccessful Distribution,Appearances,Recoveries,Catches,Total Passes,Saves Made from Inside Box,Goals Conceded,Unsuccessful Passes Own Half,Saves Made,Games Played,Index,Unsuccessful Long Passes,Time Played,Goal Kicks,Crosses not Claimed,Total Successful Passes ( Excl Crosses & Corners ) ,GK Successful Distribution,Leftside Passes,Total Losses Of Possession,Saves made - parried,Touches,Winning Goal,Headed Goals,Penalty Goals,Aerial Duels won,Successful Crosses & Corners,Through balls,Corners Won,Times Tackled,Tackles Lost,Blocks,Unsuccessful Crosses open play,Goals Conceded Outside Box,Successful Crosses open play,Backward Passes,Goals from Inside Box,Hit Woodwork,Duels lost,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Interceptions,Throw Ins to Own Player,Ground Duels lost,Goals,Ground Duels,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Successful Corners into Box,Unsuccessful Short Passes,Foul Attempted Tackle,Substitute Off,Successful Lay-offs,Right Foot Goals,Total Tackles,Aerial Duels lost,Successful Dribbles,Aerial Duels,Penalties Taken,Shots On Target ( inc goals ),Total Shots,Penalty Goals Conceded,Duels,Overruns,Substitute On,Duels won,Unsuccessful Dribbles,Handballs conceded,Unsuccessful Crosses & Corners,Attempts from Set Pieces,Total Fouls Won,Corners Taken (incl short corners),Shots Off Target (inc woodwork),Blocked Shots,Ground Duels won,Unsuccessful Corners into Box,Total Touches In Opposition Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Total Clearances,Offsides,Total Fouls Conceded,Key Passes (Attempt Assists),Home Goals,Away Goals,Left Foot Goals,Straight Red Cards,Goals from Outside Box,Successful Launches,Total Red Cards,Yellow Cards,Clearances Off the Line,Assists (Intentional),Goal Assists,Penalties Conceded,Clean Sheets,Penalties Faced,Punches,Drops,Goalkeeper Smother,Saves made - caught,Last Player Tackle,Own Goal Scored,Red Cards - 2nd Yellow,Last Man Tackle,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Penalties Off Target,Other Goals
USA_USL_League_One,2023,Central Valley Fuego FC,76a7tc8jfkb4x4onzfa2k6jmd,O. Antman,Goalkeeper,1,12,3,4,14,1,1,7,1,13,5,6,10,7,4,1,11,1,26,2,1,3,3,1,10,10,90,14,1,16,18,6,10,1,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,a2qsmjnfnjm3uwu86k85ek7h1,V. Bijev,Midfielder,20,217,140,17,66,15,,312,17,98,221,116,92,97,,19,48,,326,,21,20,,19,10,16,1193,,,234,,42,216,,621,0,1,1,19,4,2,12,45,3,2,20,4,2,102,2,2,104,6,13,4,12,74,2,143,37,1,15,2,76,8,12,21,1,18,30,24,49,1,7,20,4,192,6,4,88,26,1,25,4,27,5,13,8,69,3,40,3,3,12,7,16,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,eecchw0xji02pxoauns30bm5l,J. Carrera,Midfielder,10,966,490,19,327,22,,1049,42,500,921,266,131,112,,24,113,,1116,,48,36,,24,10,38,1930,,,985,,294,192,,1368,0,,1,7,5,3,2,17,11,3,6,6,3,229,2,,88,14,19,18,7,71,3,153,31,,32,2,93,25,2,14,2,43,17,10,24,1,4,6,8,177,,2,89,10,,17,,29,15,2,6,82,9,9,,,13,2,31,15,2,1,1,1,1,2,1,7,1,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,a1bd7ilb6cy1lv3i90e34oesp,D. Casillas,Midfielder,22,63,44,3,44,6,,95,4,25,64,12,31,26,,7,19,,97,,6,12,,7,10,2,386,,,66,,24,61,,181,0,,,1,3,,1,16,,1,5,2,2,17,,,36,2,5,3,9,29,,49,9,,4,1,29,2,6,,,4,7,4,8,,,,,57,,1,21,9,1,7,,12,3,,,20,2,5,2,,4,2,5,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,68tqdxlstpilrkvyvdnbhy31l,A. Cerritos,Midfielder,29,569,398,21,169,26,,680,43,194,583,181,98,80,,32,80,,688,,49,22,,32,10,10,2362,,,590,,176,229,,1087,2,,4,15,2,5,6,68,8,1,4,6,2,162,8,1,163,1,17,5,3,128,9,299,31,3,24,,88,20,13,15,7,32,35,55,50,5,15,27,8,349,6,6,186,23,3,4,,84,,12,9,171,,60,1,1,4,3,47,25,3,6,2,,1,,,6,,1,3,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,2wm183ku9bk2vnwg65g080ep6,J. Chavez,Defender,15,708,206,72,410,22,,955,40,574,753,233,205,144,,27,96,,985,,45,62,,27,10,97,1908,,,780,,268,222,,1194,2,1,,56,,2,1,5,7,10,1,5,,74,2,,126,25,7,17,6,62,2,99,15,,18,,108,9,3,4,1,25,64,2,120,,4,6,6,219,,5,93,3,,1,,10,2,2,5,37,,25,1,,68,1,42,3,1,1,,,,12,,9,,1,2,1,1,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,8apse4x8vm0e139szr8n1ntka,A. Cromwell,Defender,4,745,401,128,613,22,,1109,37,485,845,390,273,259,,25,159,1,1146,,43,52,,25,10,179,2062,,,873,,37,381,,1573,0,,,11,13,2,6,28,13,14,38,6,13,106,,,87,25,11,27,72,60,,153,20,,17,,94,14,2,1,,30,27,44,38,,3,9,8,191,4,3,104,17,3,38,3,19,,6,6,93,,13,15,,51,,21,14,,,,1,,11,1,6,,1,1,1,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,4mrcwdc6kac651lpgxt14g44p,M. Dabo,Midfielder,7,1197,445,52,410,23,,1327,41,804,1214,300,116,72,,26,146,,1365,,46,48,,26,10,39,2020,,,1249,,532,138,,1571,0,,,13,,,3,5,4,7,4,5,,123,,,62,15,13,24,6,35,,82,22,,15,,77,14,3,2,,19,27,11,40,,,1,7,122,,3,60,2,2,4,,17,,1,,47,,1,,,58,,23,5,,,,1,,8,1,3,1,1,1,,1,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,64rloz5jf0cpeqdcfhv62shnu,C. Dieye,Forward,24,65,46,6,27,4,,100,10,25,70,24,30,26,,8,23,,101,,11,6,,8,10,10,364,,,71,,25,64,,191,0,,,5,,,2,20,3,,2,1,,25,2,,36,1,5,2,5,34,2,58,8,,7,,20,7,4,2,1,10,2,12,7,,7,11,3,65,1,4,29,11,,2,,2,,4,2,24,,24,,,3,,10,4,0,2,1,,,,,1,,,1,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Central Valley Fuego FC,e5ijexrsv8b3at2koyyf3px0q,F. Dulysse,Defender,13,644,144,26,262,21,,753,29,526,651,206,105,74,,22,91,,775,,35,31,,22,10,55,1853,,,670,,256,117,,988,0,2,,44,,,2,3,8,18,,6,,51,2,,66,14,6,14,2,39,2,82,12,1,16,,50,9,2,,,24,27,9,71,,2,9,5,153,1,1,87,2,,,,10,,7,5,43,,24,,,80,,26,4,1,1,,,,4,,4,1,,,2,,,,,,,,,,,,,,,,
