liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Successful Lay-offs,Successful Launches,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Successful Dribbles,PutThrough/Blocked Distribution,Penalties Conceded,Throw Ins to Own Player,Goals,Right Foot Goals,Total Shots,Throw Ins to Opposition Player,Goals from Outside Box,Shots On Target ( inc goals ),Left Foot Goals,Handballs conceded,Goals from Inside Box,Tackles Lost,Offsides,Corners Won,Blocked Shots,Unsuccessful Dribbles,Saves Made,GK Successful Distribution,Key Passes (Attempt Assists),Catches,Aerial Duels won,Saves Made from Inside Box,Penalties Faced,Successful Crosses & Corners,Substitute Off,Blocks,Successful Crosses open play,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Clearances Off the Line,Shots Off Target (inc woodwork),Attempts from Set Pieces,Hit Woodwork,Unsuccessful lay-offs,Goal Assists,Through balls,Corners Taken (incl short corners),Unsuccessful Corners into Box,Goals Conceded Outside Box,Punches,Successful Corners into Box,Penalties Taken,Penalty Goals,Own Goal Scored
Concacaf_Campeones_Cup,2018,Club Tigres UANL,6stnu5c38qqzze7xbyrfwb74l,H. Ayala,Defender,4,90,1,1,43,2,5,1,1,3,3,37,4,2,45,2,37,1,3,9,2,5,1,1,62,1,2,8,14,10,5,5,1,11,8,1,1,3,20,40,42,3,4,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,5,,,2,,,,,,2,,,2,2,,,1,2,,2,,,,3,1,,,,10,,,,,,1,1,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,d9y2nzwk6kkcejglaa4kxeuvp,Rafael Carioca,Midfielder,5,90,,,56,12,28,,2,,8,24,3,4,58,,49,1,6,18,5,9,1,1,68,1,,5,11,10,4,3,,5,,1,1,1,17,50,52,,3,1,2,4,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,90,,1,40,15,18,1,4,,7,17,3,1,40,3,33,1,5,17,2,3,1,3,57,1,2,8,8,10,5,2,2,8,1,1,1,3,,35,35,,2,3,1,5,,1,1,,1,1,3,2,1,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,batxecrgxqbwz4ixi9zqgaezu,R. Durán,Forward,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,90,1,,18,7,8,,1,1,10,7,,4,20,1,15,1,5,7,5,,1,,27,1,1,2,2,10,,,,3,1,1,1,2,4,14,15,1,,3,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1,90,,4,18,,1,4,9,,9,22,,,32,,12,1,9,5,4,9,1,5,41,1,,1,18,10,3,11,2,3,,1,1,,9,14,23,2,,,,1,,,,,,,,,,,,,,,,,,,,,,2,10,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,envpdcapbpk8477snh5aidhp1,I. Jiménez,Defender,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,c10ersq5u0flz3hky5lo74pgp,M. Ortega,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,casil63kq0cfbxw6sr0q9unrp,G. Pizarro,Midfielder,19,85,,1,76,10,36,2,3,2,12,35,8,6,79,1,63,,9,27,7,10,1,2,97,1,,11,21,10,11,7,3,13,,,1,,21,67,70,2,7,2,1,11,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,1tvahhuutqgqeqgox3sm2wd79,L. Rodríguez,Defender,28,90,,,52,10,22,1,3,1,16,22,,5,52,1,40,1,8,2,7,5,1,2,76,1,1,5,12,10,3,4,,8,4,1,1,4,28,44,44,3,,5,1,1,,,1,1,1,,8,,,,3,,,,,,,1,,,2,,,,,2,,,,,1,,1,1,1,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,7wjutd5juh4jgfh0w3jx6s5hx,I. Sosa,Forward,18,2,,,3,1,1,1,1,,1,1,1,,3,,1,,1,2,,1,,1,4,1,,1,,10,1,1,,1,,,1,,,2,2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,7dz2c9rqxasc733fedsrp3l2i,J. Purata,Defender,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,6t4m47wbrylj0zp336aogocet,J. Torres Nilo,Defender,6,90,,2,53,6,19,3,4,1,6,31,1,1,55,1,48,1,5,22,1,3,1,4,63,1,1,3,21,10,2,2,1,4,1,1,1,1,6,48,50,1,1,2,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,5e0oab3nztsl617zjkxi0d2ad,E. Valencia,Forward,13,26,,,6,3,3,,,,3,2,,1,6,1,4,1,1,1,,1,,1,12,1,1,2,,10,1,1,1,2,,1,1,1,2,5,5,,,1,,1,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,8vzp8ywd7n1bhtmncdca1gno5,E. Vargas,Forward,9,64,4,,30,6,17,,,1,12,6,,7,30,,23,,7,8,7,2,1,1,46,1,,4,5,10,3,,2,6,,,1,2,11,23,23,2,,3,,2,,2,,1,1,,1,,,4,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,3,1,2,1,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,6ibclg8sdwhfalu6l1lli26s5,Juninho,Defender,3,90,,,71,5,14,3,6,,10,50,2,2,72,,58,1,8,20,3,7,1,5,84,1,,2,24,10,2,6,,2,1,1,1,,23,63,64,,1,,2,2,,,2,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,d8htrjr6ponlb7rlw9fywp045,L. Zelarayán,Midfielder,8,88,1,,40,9,25,,,,13,12,2,3,40,1,33,1,3,15,5,6,1,1,57,1,,10,5,10,3,4,1,10,1,1,1,7,11,37,37,,1,7,,3,,,1,,2,,,,,1,,,,,,,1,,,,2,,,2,,,,,,1,,,2,3,,1,,,,,,1,1,,,,,,
Concacaf_Campeones_Cup,2018,Toronto FC,cvz7rxusmcxxv17fij7dxx6mt,J. Altidore,Forward,17,57,1,,18,5,10,,,,10,3,,6,18,2,12,1,6,4,6,1,1,,29,1,1,8,5,10,4,,3,8,,1,1,4,4,12,12,,,4,1,4,,3,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Toronto FC,boojy2a86m5qkyqqzxvdk9jv9,A. Bono,Goalkeeper,25,90,,,12,,2,3,3,,3,11,,,16,,10,2,3,4,1,6,1,2,20,1,,,8,10,1,3,,1,1,3,1,,4,9,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,
Concacaf_Campeones_Cup,2018,Toronto FC,2c8lm8pc33blr2596jt0fxkgl,M. Bradley,Midfielder,4,90,,,51,,27,,,,6,26,1,5,56,,46,2,5,12,6,7,1,,65,1,,1,31,10,1,5,,1,2,3,1,,13,46,51,,1,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,1,,,1,,,,,,,,1,,1,,1,,,
Concacaf_Campeones_Cup,2018,Toronto FC,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,Midfielder,14,90,,,56,10,36,,,1,11,16,2,4,56,3,49,2,4,9,4,10,1,1,74,1,3,12,21,10,4,3,1,13,,3,1,8,16,52,52,1,2,9,1,4,,2,1,1,1,,1,,,1,,,,,,,,,,1,1,,,1,,,,,,,,,1,1,,1,,1,,,,,,1,,,,,
Concacaf_Campeones_Cup,2018,Toronto FC,a7e4giaiuvuakmt7iw09mh9lh,M. Delgado,Midfielder,18,90,,,64,5,41,1,2,,14,14,5,9,66,1,52,2,11,16,11,3,1,,77,1,,10,27,10,8,3,2,11,,3,1,3,18,53,55,1,5,3,1,7,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,
