liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Other Goals,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful lay-offs,Yellow Cards,Home Goals,Away Goals,Winning Goal,Attempts from Set Pieces,Corners Taken (incl short corners),Goals Openplay,Handballs conceded,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Substitute Off,Substitute On,Successful Lay-offs,Through balls,Unsuccessful Corners into Box,Foul Won Penalty,Goal Assists,Penalties Conceded,Successful Crosses & Corners,Successful Crosses open play,Throw Ins to Opposition Player,Assists (Intentional),Hit Woodwork,Successful Corners into Box,Left Foot Goals,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Last Player Tackle,Own Goal Scored,Straight Red Cards,Total Red Cards,Red Cards - 2nd Yellow,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Catches,Drops,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target
Mexico_Liga_MX,2025-2026,Atlas FC,11ixp4u1zzd34nqjg7dx6ldd5,M. Capasso,Defender,28,74,22,52,19,35,1,16,199,8,2,1,149,57,92,38,383,11,16,19,16,2,22,18,4,2,75,35,40,1,44,6,299,1,852,1,1,4,106,12,7,55,165,6,16,4,19,6,18,83,692,163,554,634,10,22,3,1710,4,1,2,1,1,144,26,2,185,882,20,717,32,28,165,1217,3,3,1,61,116,128,40,49,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,9c0nn4eotrbbbsje9t82fd8t1,U. Đurđević,Forward,32,29,16,13,15,42,6,,62,5,,6,102,61,41,185,28,3,,15,,5,12,9,3,5,73,45,28,,3,10,36,7,144,,1,1,27,8,1,24,55,10,17,13,13,4,,3,89,67,39,103,1,2,1,1182,26,1,2,,3,11,15,21,130,161,30,106,3,57,55,338,11,10,11,1,5,57,9,50,1,1,4,1,2,3,1,3,1,2,1,5,1,4,2,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,cb6oodfu9rk751khbomxg2yuh,E. Aguirre,Forward,19,56,35,21,19,71,2,1,63,,,3,145,84,61,181,39,4,,19,,1,14,12,2,1,89,49,40,,5,10,48,5,186,,1,1,25,19,9,19,51,11,10,5,13,5,,2,128,100,52,148,,1,2,1066,23,1,2,,1,5,24,35,119,209,15,150,1,40,59,375,4,4,4,,3,55,8,56,7,3,1,0,0,,,,1,1,1,1,,11,6,13,,,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,13,39,16,23,16,63,3,5,70,6,,1,113,47,66,68,186,10,,16,,,17,13,4,,74,31,43,,22,4,191,1,480,,,3,32,10,8,40,46,5,7,,14,1,7,38,393,158,242,360,13,24,68,1247,2,1,,1,,48,16,5,129,486,7,398,37,12,88,757,1,1,1,22,42,64,25,46,,4,,,0,,,,,,,,,2,2,,,,,1,1,2,2,29,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,87ol1pdn8h3qa8zxas4i9pr10,L. Gamboa,Forward,251,5,3,2,13,21,2,,41,,,5,60,29,31,88,14,2,,13,,,4,4,,,55,26,29,,2,2,7,1,59,,,1,22,8,2,8,18,4,4,2,,10,,2,46,34,15,45,2,7,3,186,19,1,1,,,1,6,10,56,60,6,47,9,8,13,154,14,12,12,1,1,24,3,12,,2,,,0,,4,,1,,,,,,13,,,2,,2,,2,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,7ryaeixwywl05esrvzbm5bjkl,M. García,Midfielder,8,8,4,4,12,52,1,2,68,,,4,68,34,34,91,43,6,,12,,1,7,5,2,1,60,30,30,,4,3,63,,237,,,1,24,13,6,31,80,4,2,2,6,6,1,11,207,116,92,197,3,12,,524,14,1,,,,3,6,9,62,238,4,208,15,6,30,333,5,4,9,,,25,10,30,2,,1,0,0,,,1,,,,,,6,6,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,dj0mnh206bmg6g2980038frp,A. González,Forward,58,39,20,19,18,137,7,1,130,1,,10,136,70,66,333,142,5,,18,,7,14,11,3,6,97,50,47,1,4,29,118,3,488,,2,3,66,33,9,50,115,29,4,9,14,9,,9,367,270,129,377,6,13,12,1169,36,2,2,,6,10,9,20,216,512,13,386,19,40,126,751,19,12,13,5,15,122,23,111,,1,3,4,3,2,17,4,,2,2,,,11,4,11,1,6,1,,,13,3,1,,1,8,6,1,1,1,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,bmch01bto969pz14vdb0hmoes,D. González,Forward,11,20,13,7,17,89,6,,127,2,,10,133,80,53,305,100,8,,17,,1,14,11,3,1,113,67,46,,7,30,109,10,329,,3,2,64,22,11,63,57,32,19,13,13,11,1,12,242,200,86,246,7,15,9,1190,41,7,6,,1,29,15,13,220,355,32,258,22,42,97,676,36,12,18,6,15,121,12,82,1,2,1,0,0,5,31,,3,1,1,,,7,4,7,2,11,1,2,,28,5,,1,2,13,1,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,e9ayqgoxmpwydtc6j8yg8irys,J. Guillén,Midfielder,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Atlas FC,ev3y77sf3a39805ri26547g0l,Gustavo Ferrareis,Forward,3,18,9,9,16,136,3,2,167,5,,8,82,44,38,275,161,7,,16,,,20,16,4,,64,35,29,,19,13,174,3,512,,1,4,106,23,10,54,49,13,3,9,15,5,5,35,422,261,187,394,4,12,87,1308,16,1,,,,37,14,8,175,520,12,429,16,20,91,844,34,24,12,14,32,108,17,59,,3,,,0,1,12,,1,,,,,5,1,3,1,5,,,,19,11,10,,,4,,,,,1,1,1,1,,,,,,,,,,,,,,,
