liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Total Losses Of Possession,Total Fouls Conceded,Recoveries,Touches,Appearances,Index,Games Played,Handballs conceded,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Foul Attempted Tackle,Ground Duels,Forward Passes,Duels won,Successful Long Passes,Duels,Total Clearances,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Ground Duels won,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Throw Ins to Opposition Player,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Aerial Duels won,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Launches,Successful Crosses & Corners,Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Corners Taken (incl short corners),Total Fouls Won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Goals,Left Foot Goals,Goals from Inside Box,Tackles Lost,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Right Foot Goals,Yellow Cards,Goals from Outside Box,Successful Lay-offs,Attempts from Set Pieces,Successful Crosses open play,Foul Won Penalty,Penalties Taken,Penalty Goals,Assists (Intentional),Goal Assists,Through balls,Goals Conceded Outside Box,Penalty Goals Conceded,Offsides,Hit Woodwork,Penalties Saved,Penalties Faced,Saves from Penalty,Saves made - caught,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Clearances Off the Line
Concacaf_Campeones_Cup,2019,Atlanta United FC,9i90uqmmz5zmi5m9tod2yse7d,Mohammed Adams,Midfielder,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,9crw9og5xe70mc0m1etggpdk9,E. Barco,Midfielder,8,1,1,2,1,1,2,1,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,5tz98dy8lh2p8a7mq3x9uagnp,F. Escobar,Defender,2,44,,6,2,2,18,1,10,1,1,15,1,2,5,1,3,1,5,1,3,16,1,9,1,6,1,4,1,1,2,1,4,9,1,1,5,1,1,3,4,10,10,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,7ruqyuqr8iil24sejip7mremt,L. González Pírez,Defender,5,90,,10,1,4,56,1,10,1,,39,,3,19,2,4,1,14,1,5,42,,24,2,9,8,5,1,3,4,1,3,23,3,9,5,1,2,1,8,31,33,2,1,2,2,2,1,1,3,1,1,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,d1e82ijf1k8jt10dxrrqfslw5,J. Gressel,Midfielder,24,90,,14,2,6,51,1,10,1,,22,,6,12,1,1,,7,3,3,22,,16,2,4,,8,1,2,2,,11,5,5,2,11,1,2,6,11,18,18,,3,6,5,1,,,,2,,1,,,1,3,9,1,1,1,2,1,4,2,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,26r7731d42flwc6ikxb90jxlh,B. Guzan,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,bkyxv0njobtuf80zatjpe53v9,E. Hyndman,Midfielder,16,90,,7,4,2,40,1,10,1,,34,,8,20,,1,2,11,1,2,34,,31,2,3,10,3,1,1,,2,6,9,1,,8,,2,5,7,31,31,2,,7,1,,,,1,,,3,1,,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,agjzai69udbed9vhljq5f18lx,A. Kann,Goalkeeper,25,90,,4,,4,28,1,10,1,,12,,,1,1,4,,14,,,19,,11,2,4,5,2,1,,2,,,9,1,4,1,1,2,,5,11,15,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,4,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,29yzbetu0kz3siy9prkcesno5,J. Larentowicz,Midfielder,18,90,,5,4,8,41,1,10,1,,26,1,9,10,1,1,,17,3,3,31,,25,2,4,6,3,1,,1,3,9,13,6,2,10,,2,4,3,22,27,1,3,4,5,,,,1,,2,,1,1,,,1,,,,,,,2,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,ddb6de7pli57w8z163ztwczx1,G. Martínez,Midfielder,10,89,,21,1,2,61,1,10,1,,28,2,6,20,,1,,5,2,9,32,1,17,2,10,3,14,1,1,,1,15,10,10,5,16,,2,6,13,20,22,1,2,6,9,,1,2,2,,,4,1,1,,2,1,,3,2,3,,4,5,3,4,2,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,cjqwtxwyqdy1o1ehr8yrdbnit,Josef Martínez,Forward,7,90,,12,3,1,39,1,10,1,,19,2,7,12,,,,3,,7,22,,15,2,7,4,5,1,1,2,2,13,5,7,,14,1,2,7,6,12,15,1,,7,6,,,1,5,,,8,5,1,,,,,,,,,,5,3,,,1,,1,,,,,,,,,1,,,1,,,,2,1,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,e9edcsoafeo8g7heb4sjt3u8l,J. Meram,Forward,14,24,1,8,1,4,28,1,10,1,,15,1,4,9,,,,3,1,4,16,,12,,4,6,4,,,,1,5,6,3,,6,2,,3,,11,12,1,1,3,2,,1,,1,,,2,,1,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,d38mrccgoud3qomh3supk202d,D. Nagbe,Midfielder,6,90,,11,,14,80,1,10,1,,58,,2,33,1,1,,19,2,8,61,,51,2,9,16,6,1,3,3,,9,19,10,1,12,3,2,2,24,49,52,3,2,2,7,1,,3,,,,,,3,2,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,2a4bnzt35s1sihckf86e8bys5,M. Parkhurst,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,9cit4kku34bi2uucxxo4km6zt,D. Pereira,Forward,28,66,,11,,2,30,1,10,1,,19,1,5,10,,,,4,1,5,19,1,14,2,5,5,8,1,1,,,6,6,3,,6,,2,3,3,14,14,,1,3,3,,1,1,1,,,5,,,,3,,,,,1,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,10axvdyabc15jqxp0ro94odzp,F. Pogba,Defender,4,90,,15,2,8,64,1,10,1,,42,,3,17,2,7,1,15,1,5,44,,28,2,12,14,7,1,1,5,2,6,23,4,4,9,2,2,4,4,31,32,3,1,5,2,,1,,1,1,,1,,2,2,,7,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,bjpjsx12xdi3bwsv35746arqh,M. Robinson,Defender,12,46,1,5,,2,22,1,10,1,,15,,,1,1,2,,10,1,2,15,,11,1,4,1,3,,,1,,2,9,3,,4,2,1,1,5,11,11,2,,1,1,,,,,,1,,,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,ciaqe12s383jursixiioxmo5x,H. Villalba,Forward,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22,90,,16,,7,56,1,10,1,,27,1,,11,1,3,,6,6,9,28,,13,2,12,1,8,1,1,4,,9,20,8,3,10,5,3,2,7,15,16,1,6,2,7,1,,,1,,,1,1,1,3,,6,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,3l0ic1vk57ensflic4gb7tu5l,N. Benedetti,Midfielder,14,19,1,7,2,2,15,1,10,1,,13,,2,7,,1,,1,,4,13,,8,,5,2,6,,,,2,3,6,,,3,,,3,3,8,8,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,83,,3,6,4,30,1,10,1,1,18,,5,10,1,1,,7,1,1,18,1,15,2,2,3,1,1,1,1,4,8,7,2,1,8,,3,6,3,16,16,,,6,2,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,1,1,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,jhbalw35m9nb9o9l5uqi7omi,I. García,Forward,187,1,1,1,,,3,1,10,1,,2,,,1,,,,,,1,2,,1,,1,,1,,,,,1,1,1,,1,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
