liga,temporada,equipo,id,nombre,posicion,dorsal,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Through balls,Total Clearances,Penalty Goals Conceded,Unsuccessful Passes Own Half,Successful Long Passes,Index,Clean Sheets,Leftside Passes,Unsuccessful Launches,Successful Dribbles,Open Play Passes,Interceptions,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Successful Open Play Passes,Aerial Duels lost,Total Fouls Won,Key Passes (Attempt Assists),Blocks,Unsuccessful Long Passes,Times Tackled,Tackles Won,Successful Short Passes,Goals Conceded Outside Box,Throw Ins to Own Player,PutThrough/Blocked Distribution,Successful Launches,Goals Conceded Inside Box,Ground Duels lost,Blocked Shots,Total Fouls Conceded,Total Losses Of Possession,Unsuccessful Short Passes,Successful Crosses & Corners,Total Tackles,Starts,Successful Crosses open play,Recoveries,Unsuccessful Passes Opposition Half,Forward Passes,Tackles Lost,Touches,Time Played,Successful Passes Opposition Half,Goals Conceded,Appearances,Substitute Off,Games Played,Duels lost,Aerial Duels,Backward Passes,Substitute On,Foul Attempted Tackle,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Ground Duels,Ground Duels won,Rightside Passes,Duels,Unsuccessful Dribbles,Total Touches In Opposition Box,Duels won,Throw Ins to Opposition Player,Winning Goal,Penalties Faced,Yellow Cards,Saves made - caught,Catches,Goal Kicks,Saves Made from Inside Box,Punches,Saves Made,Saves Made from Outside Box,Crosses not Claimed,Aerial Duels won,GK Unsuccessful Distribution,Drops,Saves made - parried,GK Successful Distribution,Total Shots,Shots Off Target (inc woodwork),Assists (Intentional),Offsides,Foul Won Penalty,Hit Woodwork,Attempts from Set Pieces,Unsuccessful Corners into Box,Goals from Inside Box,Successful Corners into Box,Right Foot Goals,Goals,Shots On Target ( inc goals ),Second Goal Assists,Corners Taken (incl short corners),Headed Goals,Unsuccessful lay-offs,Handballs conceded,Penalties Taken,Successful Lay-offs,Goal Assists,Home Goals,Away Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Total Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target,Penalties Conceded,Own Goal Scored,Left Foot Goals,Clearances Off the Line,Last Man Tackle,Straight Red Cards,Penalty Goals,Saves from Penalty,Penalties Saved,Goalkeeper Smother
USA_USL_League_One,2022,Central Valley Fuego FC,astc0pmj8d8cdkhb2lmn9g86i,T. Akinlosotu,Forward,17,56,3,3,1,9,1,24,10,10,2,115,6,5,269,14,8,122,213,2,8,6,3,15,15,12,212,3,40,10,1,10,32,1,6,93,41,1,16,8,1,43,35,112,4,437,741,101,13,11,3,11,34,2,30,3,4,1,222,278,61,29,21,63,9,6,29,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,76a7tc8jfkb4x4onzfa2k6jmd,O. Antman,Goalkeeper,1,145,,,,16,2,41,116,10,7,180,37,,336,1,,453,276,,5,2,,140,,,387,7,,,16,26,5,,2,150,5,,,24,,222,104,319,,903,2160,50,33,24,,24,5,9,,,1,,503,648,10,5,149,19,,,14,,0,2,6,3,22,220,43,6,67,24,1,9,46,3,18,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,53zkrsdzae2gr9wgk45mfc9ka,Keslley,Midfielder,11,1,,,,,,1,,10,,4,,,6,,,3,5,,,,,,,,5,,,,,,1,,1,2,1,,,,,2,,1,,10,23,2,,2,,2,1,1,,2,1,,5,6,1,,1,2,,1,1,,0,,1,,,,,,,,,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,a2qsmjnfnjm3uwu86k85ek7h1,V. Bijev,Midfielder,20,172,48,86,,8,3,32,79,10,4,99,9,19,614,5,20,190,446,24,32,24,2,35,50,19,398,8,24,42,2,27,94,20,31,379,137,25,33,24,15,81,226,166,14,1139,2159,312,35,27,8,27,118,51,143,3,19,22,477,649,178,84,241,229,27,83,111,2,0,,3,,,,,,,,,27,,,,,52,24,3,17,1,1,4,31,5,6,3,5,28,1,40,2,3,3,1,8,4,1,4,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,5l5p8tzb0gskdlv6z9t485i0a,N. Boyal,Midfielder,16,1,,,,,,,,10,,1,,,2,,,1,1,,,,,1,,,1,,,,,,,,,1,,,,,,,1,1,,2,1,,,1,,1,,,,1,,,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,75h95szo9lzuihyznutrngbft,R. Bustamante,Forward,23,20,,,,3,1,2,4,10,,21,,1,76,,2,31,56,9,6,3,1,1,4,3,64,2,1,3,,6,16,1,11,33,19,,4,4,,11,18,13,1,128,367,37,8,13,3,13,25,12,30,9,5,1,68,88,27,11,24,39,,6,14,,0,,1,,,,,,,,,3,,,,,3,2,1,3,,,,,,,,,1,,,,,1,,3,1,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,a1bd7ilb6cy1lv3i90e34oesp,D. Casillas,Midfielder,22,103,28,30,1,15,2,21,28,10,1,117,10,5,374,21,11,116,271,8,44,16,4,32,31,5,245,3,52,22,4,16,58,5,17,197,71,15,10,15,14,64,112,146,5,688,1189,172,19,26,12,26,66,14,72,11,6,3,273,376,116,58,41,130,15,28,64,4,0,,6,,,,,,,,,6,,,,,10,6,,6,,,,2,2,1,2,3,4,,3,1,,1,,1,1,1,2,1,1,1,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,68tqdxlstpilrkvyvdnbhy31l,A. Cerritos,Midfielder,29,43,2,5,2,1,2,4,23,10,1,80,4,22,339,1,10,86,297,10,26,19,2,9,37,6,278,2,,15,,12,55,4,16,127,34,4,13,12,1,52,44,85,7,540,1098,219,14,18,10,18,65,13,79,6,12,2,301,344,116,61,100,129,15,47,64,1,0,,1,,,,,,,,,3,,,,,13,7,2,2,,,,2,1,3,1,1,6,,5,,,1,,6,2,1,0,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,a9xcv9evxwsmocgnrzz614w5x,C. Chaney,Forward,9,107,3,3,2,23,2,20,6,10,1,97,2,10,292,1,10,74,185,61,36,7,1,10,40,7,203,5,,21,1,17,88,14,49,209,97,,13,13,,29,90,55,6,618,1419,135,22,27,10,27,149,121,91,14,20,14,209,316,146,58,73,267,21,98,118,,4,,11,,,,,,,,,60,,,,,57,33,4,25,,2,9,,8,,8,10,24,,,1,3,3,1,13,4,4,6,,2,,1,1,1,,,,,,,,,,
USA_USL_League_One,2022,Central Valley Fuego FC,acd78enllnvzevc7w5oqx20a,J. Chavez,Forward,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
