liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Successful Passes Opposition Half,Index,Open Play Passes,Unsuccessful Launches,Backward Passes,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Throw Ins to Own Player,Total Touches In Opposition Box,Games Played,Aerial Duels lost,Shots On Target ( inc goals ),Total Shots,Duels won,Unsuccessful Passes Opposition Half,Ground Duels won,Unsuccessful Long Passes,Unsuccessful Short Passes,Foul Attempted Tackle,Starts,Unsuccessful Crosses & Corners,Total Passes,Successful Open Play Passes,Unsuccessful Passes Own Half,Successful Short Passes,Forward Passes,Recoveries,Tackles Won,Unsuccessful Dribbles,Total Fouls Conceded,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Aerial Duels,Touches,Total Tackles,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Time Played,Interceptions,Total Losses Of Possession,Total Clearances,Goals Conceded,Ground Duels lost,Successful Long Passes,Duels lost,Successful Dribbles,Home Goals,Away Goals,Winning Goal,Total Fouls Won,Key Passes (Attempt Assists),Rightside Passes,Substitute Off,Blocked Shots,Offsides,Aerial Duels won,Tackles Lost,Successful Launches,Corners Won,Successful Lay-offs,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Crosses open play,Substitute On,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Unsuccessful Corners into Box,Blocks,PutThrough/Blocked Distribution Won,Yellow Cards,Attempts from Set Pieces,Throw Ins to Opposition Player,Saves Made from Outside Box,Saves Made,GK Unsuccessful Distribution,GK Successful Distribution,Saves Made from Inside Box,Handballs conceded,Clean Sheets,Punches,Saves made - parried,Goals,Left Foot Goals,Goals from Inside Box,Successful Corners into Box,Right Foot Goals
Concacaf_Campeones_Cup,2022,Atlas FC,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,15,3,8,10,21,1,1,6,7,10,10,10,2,1,1,1,1,4,9,4,3,4,1,1,3,21,14,1,12,10,7,3,3,2,9,3,2,1,47,3,14,1,90,1,15,2,2,5,2,6,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,bux3qj934czxv2imllf9o6t3p,A. Chalá,Defender,8,2,10,10,16,1,5,1,5,8,1,,3,1,3,,,1,6,1,1,4,1,1,2,16,11,1,11,4,4,,2,1,5,2,2,3,26,,11,1,59,3,10,1,2,4,,7,,0,0,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,9ilhjiaswd1oqx4xhf7wd01jp,É. Flores,Midfielder,10,,14,10,26,,6,6,6,15,11,,5,1,2,,,10,5,8,,6,2,1,,26,20,1,18,8,6,2,,3,11,,2,4,42,3,20,1,89,1,9,,2,3,2,5,2,0,0,0,3,2,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,2xchh8ku8lm05p0sd89y6gjit,J. Furch,Forward,9,2,14,10,27,,8,4,14,28,7,,9,1,10,1,2,14,11,6,,14,1,1,,31,13,3,17,10,4,,2,2,10,,2,18,54,,17,1,90,,24,,2,4,,14,,0,0,0,6,1,6,,1,,8,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,2hlfqnms7bs6eiy9gibc4fvft,José Hernández,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,l4rbm35vbn136hutia3pksiy,O. Herrera,Forward,7,2,13,10,20,,6,3,4,7,2,,1,1,,1,1,4,3,3,,4,,,1,20,16,2,14,5,3,1,,,6,1,,1,30,1,16,1,31,1,8,,,3,2,3,2,0,0,0,,,7,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,dsif2f4ny3beg21vrvnociwru,J. Márquez,Midfielder,18,,15,10,31,1,5,8,10,2,7,1,,1,1,,,1,10,1,5,5,,1,1,32,21,1,21,14,2,,,,1,,2,1,41,,22,1,70,2,12,,2,,1,1,,0,0,0,1,,6,1,,,,,,,,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,
