liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Times Tackled,Successful Launches,Open Play Passes,Backward Passes,Total Passes,Aerial Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels,Successful Open Play Passes,Tackles Won,Goals from Inside Box,Yellow Cards,Ground Duels won,Throw Ins to Opposition Player,Corners Won,Total Fouls Conceded,Goal Assists,Games Played,Through balls,Unsuccessful Crosses open play,Successful Crosses open play,Assists (Intentional),Successful Passes Own Half,Substitute Off,Unsuccessful Passes Opposition Half,Total Losses Of Possession,Foul Attempted Tackle,Duels lost,Unsuccessful Long Passes,Time Played,Total Touches In Opposition Box,Rightside Passes,Total Shots,PutThrough/Blocked Distribution,Appearances,Total Fouls Won,Total Successful Passes ( Excl Crosses & Corners ) ,Shots On Target ( inc goals ),Right Foot Goals,Aerial Duels won,Ground Duels,Key Passes (Attempt Assists),Leftside Passes,Touches,Throw Ins to Own Player,Blocks,Interceptions,Duels,Duels won,Successful Crosses & Corners,Clean Sheets,Unsuccessful Crosses & Corners,Successful Short Passes,Goals Conceded Inside Box,Ground Duels lost,Goals Conceded,Goals Conceded Outside Box,Offsides,Successful Long Passes,Unsuccessful Launches,Total Clearances,Forward Passes,Goals,Successful Passes Opposition Half,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Unsuccessful Passes Own Half,Overruns,Total Tackles,Starts,Substitute On,Handballs conceded,Recoveries,Tackles Lost,Successful Dribbles,Index,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Successful Lay-offs,Successful Corners into Box,Blocked Shots,Headed Goals,Unsuccessful lay-offs,Left Foot Goals,Unsuccessful Corners into Box,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Penalties Taken,Hit Woodwork,Penalty Goals,Straight Red Cards,Penalties Conceded,Total Red Cards,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Penalties Faced,Saves Made from Inside Box,Catches,Penalties Saved,Saves Made,Goalkeeper Smother,Saves Made from Outside Box,Saves made - parried,Saves made - caught,Saves from Penalty,Punches,Drops,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Last Man Tackle,Second Goal Assists,Penalty Goals Conceded,Other Goals,Penalties Off Target,Red Cards - 2nd Yellow,Last Player Tackle,Crosses not Claimed
Canada_Canadian_Premier_League,2023,Atlético Ottawa,b2fxe6y0xulg212cls9zrp6mt,Miguel Acosta,Defender,17,19,10,28,8,869,115,890,14,169,29,702,48,1,3,98,37,4,29,2,25,2,30,7,1,429,2,144,280,19,114,85,2168,12,147,8,45,25,11,721,5,1,15,198,11,296,1368,98,7,24,227,113,7,7,30,644,26,100,31,5,1,77,32,55,332,1,299,3,84,55,2,75,24,1,1,120,27,13,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,9jmrmkr0q6fq1luh7ar9uf3oq,A. Agyekum,Midfielder,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,8vp11oeb0zdxnecv79eprj6dw,Gabriel Antinoro,Midfielder,30,11,17,25,,178,37,181,7,49,11,129,16,2,3,45,1,2,16,,23,4,6,2,,39,8,41,116,6,59,15,720,16,42,9,17,23,9,132,5,1,4,97,7,38,341,,,5,108,49,3,,6,127,16,52,19,3,,5,7,1,64,2,96,4,34,14,2,22,8,15,,51,6,14,10,1,1,1,2,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,8texi81doeqhy7eu6fnhrstbe,J. Assi,Forward,14,11,45,73,1,544,153,547,7,121,12,423,23,1,3,100,9,8,20,3,26,2,27,4,2,167,15,110,291,12,119,17,1743,60,27,8,32,26,14,426,4,1,5,212,27,225,943,44,,7,224,105,4,3,27,416,16,112,19,3,8,10,10,12,142,1,263,4,104,38,12,43,20,6,2,87,20,43,10,0,1,0,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,4qii6ycyfpukpd538kwp1fms4,Z. Bahous,Midfielder,0,9,2,10,,284,39,291,8,50,9,235,22,1,1,63,,4,12,,16,,5,,,96,4,39,78,5,45,13,664,10,84,9,20,16,9,241,4,,1,100,4,84,438,4,1,11,109,64,,,5,215,9,37,11,2,1,26,4,6,84,1,145,5,37,16,1,38,5,11,,61,16,16,10,0,1,0,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,7ao58e6608lb8eu3dmk17jisp,O. Bassett,Midfielder,10,14,34,63,,896,188,926,6,182,8,714,18,9,3,91,,25,22,3,27,8,43,7,2,264,13,242,404,14,131,45,2329,69,175,40,51,27,16,744,20,10,2,216,32,266,1403,7,,23,224,93,23,1,95,703,26,125,31,5,6,41,12,4,297,11,503,20,137,35,3,32,27,,1,135,14,43,10,4,7,6,61,3,14,17,,,1,34,1,2,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,af2xmjnq15zvwfm6ozt5dxh5g,O. Darwish,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,b1v4hzu506vc92ep7j8gzwtl,R. del Campo,Forward,99,7,10,19,,87,29,98,15,35,37,52,2,,2,18,,5,11,2,16,,3,3,1,22,5,34,71,5,47,2,610,32,14,15,11,16,7,63,6,,22,50,8,34,202,1,,1,87,40,3,,3,63,7,32,9,2,3,,1,2,21,,44,9,33,4,,4,6,10,1,18,2,8,10,,,0,,1,,7,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,cefejvf3fekx46dfyybecffmx,B. Engbers,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Atlético Ottawa,58i2hjymxpqbymprh7c48t1qs,Diego Espejo,Defender,4,8,1,3,5,858,30,886,10,154,54,709,15,1,5,49,2,,20,,19,,1,,,540,3,102,165,5,47,91,1590,16,265,9,13,19,20,732,3,,44,86,3,319,1118,5,8,20,140,93,,5,1,660,20,37,23,3,,72,31,100,272,1,192,6,63,53,,28,18,1,1,61,13,1,10,1,0,0,,,,1,1,,,,,,,,,,1,1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,
