liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Straight Red Cards,Total Shots,Aerial Duels won,Successful Passes Opposition Half,Tackles Lost,Unsuccessful Short Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Unsuccessful Launches,Unsuccessful Long Passes,Clean Sheets,Games Played,Total Clearances,Unsuccessful Crosses & Corners,Touches,Aerial Duels,Successful Crosses & Corners,Recoveries,Unsuccessful Crosses open play,Successful Crosses open play,Aerial Duels lost,Ground Duels won,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Total Tackles,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Foul Attempted Tackle,Ground Duels,Index,Shots Off Target (inc woodwork),Blocks,Duels lost,Ground Duels lost,Successful Short Passes,Total Fouls Won,Duels won,Rightside Passes,Duels,Successful Long Passes,PutThrough/Blocked Distribution,Penalties Conceded,Goals Conceded Outside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Launches,Goals Conceded,Total Passes,Total Losses Of Possession,Substitute On,Total Fouls Conceded,Times Tackled,Total Touches In Opposition Box,Substitute Off,Interceptions,Appearances,Time Played,Backward Passes,Starts,Total Red Cards,Forward Passes,Throw Ins to Own Player,Leftside Passes,Unsuccessful Passes Own Half,Open Play Passes,Penalty Goals Conceded,Yellow Cards,Clearances Off the Line,Winning Goal,Through balls,Unsuccessful Corners into Box,Goals,Offsides,Right Foot Goals,Corners Taken (incl short corners),Shots On Target ( inc goals ),Attempts from Set Pieces,Goals from Inside Box,Successful Corners into Box,Blocked Shots,Successful Dribbles,Second Goal Assists,Handballs conceded,Goal Assists,Corners Won,Hit Woodwork,Assists (Intentional),Goals from Outside Box,Penalties Taken,Successful Lay-offs,Set Pieces Goals,Home Goals,Away Goals,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Left Foot Goals,GK Successful Distribution,Drops,Punches,Saves Made,GK Unsuccessful Distribution,Saves made - parried,Saves made - caught,Saves Made from Outside Box,Goal Kicks,Catches,Saves Made from Inside Box,Foul Won Penalty,Penalties Faced,Goalkeeper Smother,Penalty Goals,Saves from Penalty,Penalties Saved,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Other Goals
USA_USL_League_One,2021,Chattanooga Red Wolves SC,50fhgd3b896gac2p1y8wrwpw4,S. Capozucchi,Defender,23,16,1,1,18,156,6,50,3,54,88,10,295,429,17,38,3,17,20,4,722,33,3,65,4,3,15,34,2,3,22,11,1,17,69,10,1,7,50,35,418,13,52,93,102,30,10,1,1,448,8,11,536,119,1,26,7,2,9,18,17,1284,72,16,2,205,56,166,38,517,2,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,eecchw0xji02pxoauns30bm5l,J. Carrera,Midfielder,10,22,,22,13,775,16,152,34,222,204,26,606,1271,12,52,5,29,12,58,1991,34,17,138,26,6,21,91,22,17,38,,,23,202,10,11,1,132,111,1282,41,104,418,236,82,34,,5,1364,7,31,1568,362,,44,46,40,2,37,29,2662,287,29,,530,10,333,40,1471,2,9,,0,8,27,2,4,2,58,11,4,1,10,9,15,1,2,2,12,1,2,1,1,4,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,35gw2u5bmazcn9vfiti4puy21,J. Dietrich,Forward,21,7,,11,8,61,2,38,6,47,42,6,48,106,1,4,,20,2,12,287,17,2,40,12,1,9,32,12,2,9,1,,8,70,10,7,,47,38,100,16,40,23,87,7,6,,,107,,6,149,93,10,11,18,28,10,6,20,671,52,10,,38,14,36,7,148,,3,,1,1,,2,7,1,1,4,,2,1,8,7,,,1,9,,1,,,1,,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,411grh3cytippnnanb767qvsa,Rafa Mentzingen,Forward,7,9,,19,16,88,4,60,12,77,69,8,33,109,5,9,,17,4,14,415,33,5,39,14,5,17,59,19,4,13,,,9,115,10,9,1,73,56,111,29,75,31,148,5,21,,2,116,1,10,185,167,8,11,33,49,6,4,17,885,54,9,,52,2,48,6,178,1,3,,1,1,,1,3,,,10,,1,,3,17,,,,11,,,,,6,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,b3vnu6sesj92pye3x8lhffcyy,J. Esparza,Defender,23,16,,3,19,272,8,95,14,126,147,18,256,498,29,52,2,25,30,32,1073,41,10,81,32,9,22,34,5,10,24,63,,5,74,10,1,2,62,40,488,5,53,211,115,30,29,,3,518,9,21,665,272,8,24,7,8,6,24,25,1607,123,17,,302,130,29,53,645,2,3,,0,,,,1,,2,2,,,,3,5,,,,12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,euooh9bkymh46vkxa3fvhrbop,J. Espana,Midfielder,11,25,,10,9,219,11,75,19,88,89,10,120,326,3,14,,24,6,21,665,24,11,56,21,10,15,58,15,9,36,,,21,124,10,4,1,81,66,310,11,67,105,148,18,23,,2,328,2,12,417,180,9,28,24,49,14,15,24,1232,137,15,,112,11,63,22,415,1,6,,0,1,,3,6,3,2,6,,3,1,9,11,,,,8,1,,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,5l65hftatfs9o50on7mh6gkq,B. Frischknecht,Forward,22,2,,27,29,89,1,59,9,60,64,9,42,110,3,5,,20,6,3,344,52,1,24,3,1,23,18,13,2,3,,,6,67,10,15,,72,49,127,9,47,61,119,3,10,,3,130,1,12,194,135,7,20,29,79,13,2,20,982,59,13,,49,1,25,7,174,1,3,,0,,,1,6,,,12,2,1,,6,6,,3,1,15,2,1,,,9,,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,d6hinvoq9bazu1j5tnf1dcqju,J. Galindrez,Forward,19,3,,48,24,112,4,61,5,57,64,13,50,133,1,3,,29,17,3,522,74,1,28,3,1,50,47,15,9,7,,,10,106,10,25,1,109,59,158,32,71,47,180,3,14,,2,161,1,15,225,184,19,22,38,113,9,2,29,1316,89,10,,40,1,49,10,196,1,4,,4,1,,11,26,7,,23,,11,,9,8,,3,1,13,6,1,,,4,,9,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,4zk384iwrvinp38k34hc10q1h,M. Hernández,Forward,20,5,,28,11,204,12,67,23,117,85,10,86,250,6,18,1,24,6,53,696,32,22,65,47,21,21,62,22,14,17,2,,13,127,10,15,2,86,65,251,28,73,93,159,17,25,,1,268,1,11,353,230,18,28,30,64,2,9,24,1136,110,6,,103,18,47,21,335,2,5,,2,2,3,5,7,,16,13,,5,2,10,17,1,2,3,18,2,3,,,1,,2,3,,,,5,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,7oplx9ih8mkjrolnz5jf36ytx,J. Luna,Defender,2,5,,2,9,73,4,22,,42,55,6,152,204,8,33,1,8,12,1,341,24,,24,1,,15,15,1,,9,,,3,33,10,1,4,33,18,199,7,24,92,57,26,1,,,225,5,6,280,61,1,12,2,2,3,9,8,560,22,7,,136,1,30,14,258,,2,,0,,,1,,1,,1,,1,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
