liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Aerial Duels won,Aerial Duels,Aerial Duels lost,Rightside Passes,Successful Passes Opposition Half,Unsuccessful Crosses open play,Right Foot Goals,Corners Taken (incl short corners),Goals Conceded,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Ground Duels,Appearances,Games Played,Starts,Total Fouls Won,Total Tackles,Tackles Won,Assists (Intentional),Foul Attempted Tackle,Index,Tackles Lost,Clean Sheets,Total Passes,Goals Conceded Outside Box,Backward Passes,Goals,Interceptions,Ground Duels lost,Yellow Cards,Shots Off Target (inc woodwork),Ground Duels won,Duels lost,Duels,Offsides,Successful Open Play Passes,Total Touches In Opposition Box,Penalties Conceded,Leftside Passes,Throw Ins to Opposition Player,Unsuccessful Launches,Successful Passes Own Half,Successful Crosses open play,PutThrough/Blocked Distribution,Blocks,Handballs conceded,Successful Long Passes,Unsuccessful Passes Own Half,Successful Dribbles,Total Clearances,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Unsuccessful Short Passes,Goal Assists,Shots On Target ( inc goals ),Time Played,Corners Won,Recoveries,Throw Ins to Own Player,Key Passes (Attempt Assists),Left Foot Goals,Successful Crosses & Corners,Penalty Goals Conceded,Total Shots,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Forward Passes,Touches,Duels won,Hit Woodwork,Total Fouls Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Blocked Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Successful Launches,Successful Lay-offs,Goals from Inside Box,Open Play Passes,Total Losses Of Possession,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Headed Goals,Red Cards - 2nd Yellow,Substitute Off,Total Red Cards,Substitute On,Through balls,GK Unsuccessful Distribution,GK Successful Distribution,Goals from Outside Box,Second Goal Assists,Unsuccessful Corners into Box,Successful Corners into Box,Straight Red Cards,Attempts from Set Pieces,Foul Won Penalty,Unsuccessful lay-offs,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made,Penalties Saved,Catches,Punches,Saves made - caught,Goalkeeper Smother,Saves from Penalty,Drops,Penalty Goals,Penalties Taken,Own Goal Scored,Set Pieces Goals,Other Goals,Penalties Off Target,Crosses not Claimed,Last Man Tackle
Canada_Canadian_Premier_League,2021,Atlético Ottawa,b2fxe6y0xulg212cls9zrp6mt,Miguel Acosta,Defender,17,37,13,26,13,228,365,57,1,1,46,57,45,225,27,27,27,19,75,41,1,12,10,34,3,988,1,213,2,22,108,7,3,117,121,251,2,735,17,1,122,31,45,396,6,66,7,4,48,98,24,59,18,82,151,1,2,2430,13,133,204,11,1,6,11,5,192,20,425,1643,130,1,24,233,3,755,707,14,2,2,963,398,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,dvm23d66qze0kmrzxft68a0ru,M. Arnone,Defender,23,5,13,26,13,244,115,,,,21,,20,34,14,14,13,5,15,9,,5,10,6,,637,1,59,1,11,13,,4,21,26,60,,559,10,,95,1,7,458,,11,6,,30,35,1,51,8,26,38,,1,1146,,38,,1,,,6,5,29,1,239,770,34,,6,64,1,573,543,3,,1,622,75,0,1,0,1,1,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,18533nxyqhzt04i9xmztjyhw4,M. Ba,Midfielder,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,3ot9v3kbxlf1il8eg7o4vg9ud,D. Beckie,Defender,2,9,27,47,20,211,202,8,1,,30,8,29,90,18,18,18,15,35,22,1,8,10,13,2,861,1,86,1,24,35,8,4,55,55,137,1,690,23,,243,5,20,520,,23,12,1,56,59,5,61,12,53,86,1,4,1589,2,82,35,,,,7,8,88,4,321,1124,82,,16,139,,722,666,4,,1,819,177,1,0,0,,,,2,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,d0u449r2nmhewtfvgpf63qhhw,M. Cornwall,Midfielder,21,,,1,1,7,6,3,,,2,3,2,1,2,2,1,,,,,1,10,,,28,,7,,,1,,,,2,2,,18,1,,3,,,13,,1,,,2,1,,,,2,7,,1,58,1,3,4,,,,1,1,11,,11,38,,,1,9,,19,17,,,,27,14,0,0,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,bh7fb8v7o5wynmapdhlth594a,A. Coupland,Midfielder,11,17,3,14,11,34,79,1,,,9,1,8,67,15,15,7,18,9,4,,6,10,5,,169,1,41,2,4,31,,2,36,42,81,,137,9,,51,,,66,,12,,1,6,4,9,3,8,4,20,,7,513,2,34,,5,2,,1,9,21,6,43,288,39,,11,24,,145,139,,1,1,161,67,1,1,0,,,,7,,8,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,33l8nq6xbj3pm1lkxo2qs5vfu,K. Ferdinand,Defender,33,10,3,11,8,53,115,2,,,18,2,18,65,17,17,12,7,22,16,,7,10,6,1,430,,56,,10,30,,4,35,38,76,,345,9,1,129,8,10,239,3,10,5,,23,45,6,39,4,26,53,,1,1056,1,55,29,2,,3,4,5,36,5,192,607,38,,12,79,1,351,328,3,,,422,111,0,0,0,1,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,8e1nhx9eytr8now1kr0088auh,N. Higgins,Defender,20,,4,10,6,97,53,,,,9,,9,16,8,8,5,1,7,4,,4,10,3,,261,,21,,6,8,1,1,8,14,26,,227,1,1,72,,10,180,,6,5,1,14,15,,21,5,19,9,,,458,1,20,1,,,,2,1,13,,71,312,12,,7,28,,233,219,1,,,254,29,0,0,0,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,1hwbc5i6pxjdjgx0f88wmqqx,B. John,Defender,4,,1,1,,12,11,,,,3,,3,7,5,5,2,4,2,2,,1,10,,,65,,8,,1,2,,,5,2,8,,48,1,,26,1,2,38,,1,,,5,4,,1,,9,7,,1,147,,4,,1,,,1,1,12,,19,76,6,,2,16,,49,44,1,,,64,17,0,0,0,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,2xr4zmz44j3klssbanayqqy21,M. Kapor,Defender,3,2,23,53,30,225,162,1,,,28,1,28,50,21,21,20,6,17,7,,6,10,10,2,919,,46,,31,25,4,3,25,55,103,,778,11,2,350,,20,639,,10,15,2,94,34,2,62,7,73,45,,,1756,1,59,2,1,,,9,3,85,,298,1096,48,,17,118,4,801,707,12,,,885,125,0,0,0,,,,3,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
