liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Goals Conceded Outside Box,Offsides,Right Foot Goals,Headed Goals,Goals from Inside Box,Throw Ins to Own Player,Set Pieces Goals,Successful Corners into Box,Attempts from Set Pieces,Penalties Taken,Throw Ins to Opposition Player,Saves Made,GK Successful Distribution,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Total Red Cards,Straight Red Cards,Foul Won Penalty,Second Goal Assists,Hit Woodwork,Penalty Goals,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Own Goal Scored,Last Man Tackle,Penalties Off Target
Canada_Canadian_Premier_League,2019,Cavalry FC,5m5p9c4iyl4f4j1rr1rdmojfu,E. Adekugbe,Midfielder,16,5,1575,2,14,4,1,919,1,204,2,312,8,6,39,17,7,15,188,503,41,104,1,956,1,36,21,729,10,8,143,252,8,123,1,120,17,30,28,1196,2,19,19,2,166,1,284,3,10,117,1,84,2,39,18,2,199,17,10,1,8,19,2,2,3,67,216,780,813,33,9,1,4,2,26,82,15,18,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,2bwli6laejcfs9eb6euey2lbe,Gabriel Bitar,Forward,19,3,90,,,,,15,2,3,,8,,,1,1,1,1,14,6,3,1,,16,,1,1,14,,5,2,6,2,5,,2,1,2,,42,,1,1,,16,,6,5,10,5,4,,,1,,3,17,1,3,,3,1,,,,11,1,13,14,1,,,,,1,12,2,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,c0bz7h3es1ym0n5he0l4ntzop,J. Brown,Forward,9,17,1397,10,7,1,4,288,13,107,5,151,4,2,8,12,16,42,181,80,26,63,,297,5,34,13,222,7,29,71,77,16,80,13,57,15,28,8,549,,25,11,,133,1,64,70,10,67,13,4,5,7,21,15,196,4,8,1,17,25,,3,1,87,49,217,226,63,7,1,1,,15,129,11,2,46,1,5,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,ar6i26vtb7c9tjfrlul7pp3v9,J. Büscher,Midfielder,8,29,1768,4,11,5,5,972,10,209,36,420,26,5,92,23,14,26,417,396,62,154,1,1026,12,51,13,697,10,27,246,247,37,297,5,187,21,50,35,1511,68,25,34,4,268,3,359,24,10,135,13,83,8,50,12,8,306,15,10,,86,25,40,2,4,145,211,742,780,38,4,,4,2,44,171,18,29,123,,2,5,,2,7,1,21,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,6re26cen7xbrynezb3rerst05,S. Camargo,Midfielder,10,17,1260,5,7,1,6,376,12,103,3,204,1,1,6,11,7,18,202,92,18,89,,388,8,10,20,283,9,18,95,113,19,102,6,68,15,26,12,630,6,20,6,1,122,,96,77,10,61,11,10,2,15,9,19,149,4,9,1,19,20,2,1,3,70,76,282,293,27,2,,3,1,8,88,10,8,52,,7,5,,6,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,7tmc8hrkee4lo05qa26i7e5zp,M. Carducci,Goalkeeper,1,,2250,,,49,,386,1,1,,59,115,1,236,,,,246,395,,7,1,697,,1,,310,17,,243,135,1,191,,214,25,,52,932,,25,1,,6,,418,1,10,11,,144,,6,7,,13,21,17,,,25,,,,2,143,295,454,7,9,,,,,2,,,4,,,,,,,,,,,,65,238,1,13,1,2,1,13,32,19,33,2,1,1,65,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,79xw5l1zq2huxdmeod9t19nmd,J. Escalante,Midfielder,11,40,1613,6,3,5,4,427,22,115,38,234,11,3,39,22,17,27,320,124,33,97,2,456,6,24,13,296,12,33,136,154,24,184,10,84,18,43,31,918,54,24,14,,185,2,133,63,10,108,16,24,15,45,18,29,230,10,12,4,79,24,26,,4,95,54,297,320,45,4,,4,,24,122,9,9,90,,10,,,2,24,1,17,5,1,3,,,,,,,,,,,,,,,,1,1,1,1,4,1,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,ewbf6v0sbw5mtcdt7zs2vq5ed,M. Eustáquio,Midfielder,18,3,533,5,1,2,,340,1,43,1,116,11,2,29,5,1,12,106,160,17,56,2,360,,16,2,238,4,2,85,90,2,61,1,43,5,9,29,457,1,10,8,1,65,,128,,10,44,1,37,1,11,15,3,92,9,7,,5,10,1,1,,36,99,257,275,27,2,,,,11,48,6,11,29,3,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,3mdoaxl9nv5pgiya30nqm3qi,O.Fakunle,Forward,25,2,9,2,,,,3,,1,,2,,,,2,,,3,1,,,,3,,,,3,1,,,1,,2,,1,,2,,10,,2,,,,,1,,10,,,,,,,,,,1,,2,2,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Cavalry FC,207co3fpu5mhbs1r0e6p8vze1,N. Giantsopoulos,Goalkeeper,22,,450,,,6,,67,,,,8,12,,30,,,,32,77,,1,1,116,,,,67,1,,31,16,1,18,,48,5,,13,178,,5,,,2,,57,,10,4,,18,,4,2,,4,2,4,,,5,,,,,43,54,85,2,3,,,,,,,,2,3,,,,,,,,,,,20,57,,,,,,1,11,4,9,1,,,10,,,,,,,1,,,,,,
